number,uiId,soundId,name,category,type,synthType,technicalDescription,yourListeningNotes,bestMatchingGMPrograms,bestMatchingGMInstruments,confidence
1,lead,synth-lead,Lead,synth,melodic,MonoSynth,"Sawtooth oscillator, bright cutting tone, 0.5s sustain","synth, soft not bright, very round",(GM program numbers 0-127),(GM instrument names),(high/medium/low)
2,impact,fx-impact,Impact,fx,melodic,PolySynth,"Thick James Blake pad, fatsawtooth (3 detuned), warm wide character, slow attack","Synth, very sawtooth, serrated knife sound, not warm",,,
3,sweep,fx-sweep,Sweep,fx,rhythmic,PolySynth,"Radiohead/Prophet-5 style, triangle wave, round smooth analog, gentle filter sweep","Synth, round and warm like a  big plastic tube, with a bit of bite",,,
4,vocal,fx-vocal-chop,Vocal Chop,fx,rhythmic,PolySynth,"Ethereal theremin-like, haunting ghostly, sine wave, slow attack (300ms), long release (2s)","Synth, really wide, like a bell, very round",,,
5,sub,bass-sub,Sub,bass,melodic,PolySynth,"Deep sub bass, pure sine with minimal harmonics, dark low-frequency focused","Bass, slightly pluck",,,
6,wobble,bass-wobble,Wobble,bass,melodic,FMSynth,"FM synthesis, 0.5 harmonicity, modulated bass character",Synth bass,,,
7,pad,synth-pad,Pad,synth,melodic,Sampler,"Grand piano Salamander samples, realistic acoustic piano",Grand piano,,,
8,pluck,synth-pluck,Pluck,synth,melodic,PolySynth,"Sine wave bass, rich sustained, warm full-bodied with subtle harmonics",Sine wav bass that sounds like a super clean sine tone at higher registers,,,
9,arp,synth-arp,Arp,synth,melodic,Synth,"Square wave, short staccato envelope (attack 5ms, release 300ms), one-shot","Video game synth, short burst",,,
10,kick,drum-kick,Kick,drum,rhythmic,MembraneSynth,"Bass drum, pitch decay, 10 octaves sweep",Kick ddrume,,,
11,noise,fx-noise,Noise,fx,rhythmic,NoiseSynth,"Brown noise, 300ms decay, one-shot","Noise, can act as a snare for electro and video game songs",,,
12,snare,drum-snare,Snare,drum,rhythmic,NoiseSynth,"White noise, snare character, 200ms decay, one-shot","Noise slap, can and as snare",,,
13,clap,drum-clap,Clap,drum,rhythmic,NoiseSynth,"Pink noise, hand clap character, 150ms decay, one-shot","Noise slap, almost like a high pitched punch",,,
14,hihat,drum-hihat,Hi-hat,drum,rhythmic,MetalSynth,"Metallic, 200Hz frequency, 5.1 harmonicity, 4000 resonance, one-shot",Metal hi hat sounding,,,
15,glitch,fx-glitch,Glitch,fx,rhythmic,MetalSynth,"Metallic percussion, 100Hz, high modulation, very short (50ms), one-shot","Closed  hi hat, very short, like a tick, ",,,
16,riser,fx-riser,Riser,fx,rhythmic,NoiseSynth,"White noise, 1.0s attack (riser effect), 0.5s release",White noise riser,,,